ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"66.33.212.180","elite","AS26347","US","New Dream Network, LLC","81","New Dream Network, LLC","15891","socks4","4709","1","2023-05-25T12:46:54.311Z","100","1825","1829"
"187.103.74.137","elite","AS52965","BR","1telecom Servicos De Tecnologia EM Internet Ltda","196","1telecom Servicos De Tecnologia EM Internet Ltda","5678","socks4","3793","84","2023-05-25T12:46:54.298Z","93","1685","1819"
"216.107.129.67","elite","AS61317","US","Colocation America Corporation","97","Ipxo LLC","10180","socks5","4200","1","2023-05-25T12:46:54.903Z","100","1745","1746"
"106.245.183.60","elite","AS3786","KR","LG DACOM Corporation","298","Boranet","4145","socks4","4588","1","2023-05-25T12:46:50.809Z","98","1805","1835"
"41.203.252.118","elite","AS36902","SC","Intelvision","180","Intelvision Ltd","3128","socks5","4106","1","2023-05-25T12:46:50.915Z","99","1788","1809"
"43.157.44.125","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","11","Tencent Cloud Computing","443","socks4","5690","1","2023-05-25T12:46:50.799Z","22","390","1804"
"103.58.16.57","elite","AS134202","MY","E-world Communication SDN BHD","500","E-world Communication SDN BHD","4145","socks4","600","1","2023-05-25T12:46:50.804Z","100","1795","1801"
"2.81.216.239","elite","AS3243","PT","PT Comunicacoes S.A","81","PT Comunicacoes S.A.","4153","socks4","4993","2","2023-05-25T12:46:50.606Z","100","1832","1837"
"43.134.188.89","elite","AS132203","SG","Aceville Pte.ltd","392","N/A","38279","socks4","1313","3","2023-05-25T12:46:47.697Z","84","1512","1796"
"188.94.225.13","elite","AS196798","RU","Mifril+ LLC","53","NLT Sub65","8080","socks4","4697","1","2023-05-25T12:46:47.615Z","100","1828","1829"
"104.19.225.70","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","5182","1","2023-05-25T12:46:47.708Z","100","1775","1777"
"191.96.49.100","elite","AS19844","US","SBA Edge, LLC","98","Ipxo","3389","socks4","4187","1","2023-05-25T12:46:45.108Z","88","1593","1812"
